event_id,student_id,class_id,session_id,timestamp,day_of_week,hour_of_day,minutes_from_class_start,time_since_last_attendance_minutes,device_id_hash,ip_hash,network_type,device_changed_from_last_event,ip_changed_from_last_event,geo_lat,geo_lon,distance_from_last_event_km,travel_speed_kmh,face_match_distance,liveness_score,face_match_pass,retry_count_before_success,failed_attempts_last_7d,attendance_rate_30d,suspicious_events_last_30d,is_fraud
EVT000023,STU0023,CS501,S023,2026-02-15T15:37:00,Sunday,15,9,1847,DEV_639,IP_322,ethernet,0,0,18.272023,79.079631,0.51,8.51,0.16,0.974,1,0,1,0.898,1,0
EVT000024,STU0024,CS501,S024,2026-02-15T01:01:00,Sunday,1,6,3572,DEV_562,IP_001,mobile,0,0,17.430371,78.644832,0.25,5.05,0.386,0.922,1,0,2,0.922,1,0
EVT000025,STU0025,CS501,S025,2026-02-27T18:29:00,Friday,18,3,4709,DEV_096,IP_241,ethernet,0,0,17.465629,79.209844,1.02,9.52,0.39,0.935,1,0,1,0.913,1,0
EVT000026,STU0026,CS501,S026,2026-02-08T01:56:00,Sunday,1,10,487,DEV_672,IP_006,wifi,1,1,18.167631,78.328262,68.11,625.42,0.68,0.523,0,4,9,0.61,4,1
EVT000027,STU0027,CS501,S027,2026-03-09T23:18:00,Monday,23,9,4705,DEV_851,IP_562,mobile,1,0,18.345812,79.115483,1.7,5.48,0.352,0.92,1,1,1,0.93,1,0
EVT000028,STU0028,CS501,S028,2026-02-22T23:28:00,Sunday,23,0,3171,DEV_142,IP_155,wifi,0,0,17.574553,78.229208,1.25,3.3,0.179,0.84,1,1,1,0.878,0,0
EVT000029,STU0029,CS501,S029,2026-02-11T02:41:00,Wednesday,2,21,339,DEV_361,IP_306,mobile,1,1,18.280172,79.430146,35.3,320.19,0.812,0.463,0,1,11,0.602,2,1
EVT000030,STU0030,CS501,S030,2026-02-20T10:40:00,Friday,10,10,5841,DEV_942,IP_131,ethernet,0,0,17.801185,79.360393,0.55,5.83,0.253,0.92,1,1,2,0.85,1,0
EVT000031,STU0031,CS501,S031,2026-02-28T07:30:00,Saturday,7,-7,1587,DEV_285,IP_432,mobile,0,0,18.252366,78.70546,0.92,0.6,0.251,0.824,1,1,1,0.957,1,0
EVT000032,STU0032,CS501,S032,2026-03-07T11:08:00,Saturday,11,4,2736,DEV_485,IP_686,wifi,0,0,17.845954,78.326947,1.3,9.05,0.388,0.822,1,0,2,0.847,0,0
EVT000033,STU0033,CS501,S033,2026-03-05T05:00:00,Thursday,5,4,2274,DEV_407,IP_204,wifi,0,0,17.888147,79.245857,1.44,9.33,0.199,0.845,1,0,1,0.924,1,0
EVT000034,STU0034,CS501,S034,2026-02-12T10:15:00,Thursday,10,2,5818,DEV_870,IP_431,mobile,0,0,17.158308,79.441181,1.13,0.49,0.288,0.919,1,0,2,0.937,0,0
EVT000035,STU0035,CS501,S035,2026-03-02T07:13:00,Monday,7,7,2153,DEV_331,IP_252,wifi,0,0,17.418392,78.676203,1.93,3.24,0.354,0.893,1,1,1,0.898,1,0
EVT000036,STU0036,CS501,S036,2026-03-07T12:43:00,Saturday,12,12,4004,DEV_570,IP_011,ethernet,0,0,18.422094,78.128419,0.65,5.85,0.245,0.834,1,1,2,0.946,1,0
EVT000037,STU0037,CS501,S037,2026-03-06T03:30:00,Friday,3,10,2868,DEV_485,IP_567,ethernet,0,0,17.515636,79.494947,0.98,9.52,0.182,0.827,1,0,1,0.94,1,0
EVT000038,STU0038,CS501,S038,2026-02-26T10:10:00,Thursday,10,7,3119,DEV_284,IP_604,ethernet,0,0,17.895186,79.470766,1.44,3.79,0.338,0.98,1,0,0,0.859,1,0
EVT000039,STU0039,CS501,S039,2026-03-11T06:27:00,Wednesday,6,0,3856,DEV_106,IP_013,ethernet,0,1,17.426509,78.718071,1.07,3.29,0.394,0.896,1,0,2,0.976,1,0
EVT000040,STU0040,CS501,S040,2026-02-16T21:08:00,Monday,21,-6,2968,DEV_088,IP_255,wifi,0,0,17.83711,78.624261,1.64,4.81,0.178,0.912,1,0,0,0.847,1,0
EVT000041,STU0041,CS501,S001,2026-02-28T12:07:00,Saturday,12,0,5180,DEV_782,IP_213,ethernet,0,0,17.316538,78.990642,0.59,7.06,0.263,0.899,1,0,2,0.993,0,0
EVT000042,STU0042,CS501,S002,2026-02-08T12:32:00,Sunday,12,10,1514,DEV_704,IP_240,mobile,0,0,18.181742,78.937587,1.38,5.64,0.168,0.841,1,1,2,0.975,0,0
EVT000043,STU0043,CS501,S003,2026-03-03T11:11:00,Tuesday,11,-1,4382,DEV_450,IP_128,mobile,0,0,18.033017,79.049601,0.3,3.19,0.194,0.793,1,1,2,0.955,1,0
EVT000044,STU0044,CS501,S004,2026-03-16T06:39:00,Monday,6,10,4945,DEV_784,IP_689,mobile,0,0,17.86437,79.144664,1.78,8.81,0.305,0.785,1,0,2,0.97,0,0
EVT000045,STU0045,CS501,S005,2026-02-09T08:21:00,Monday,8,7,3178,DEV_338,IP_422,ethernet,0,0,17.743204,78.993875,1.27,5.9,0.182,0.853,1,1,1,0.941,0,0
EVT000046,STU0046,CS501,S006,2026-02-19T14:24:00,Thursday,14,10,1200,DEV_424,IP_056,wifi,0,0,17.777659,78.933951,0.65,11.64,0.257,0.888,1,0,2,0.976,1,0
EVT000047,STU0047,CS501,S007,2026-02-24T01:29:00,Tuesday,1,-6,2567,DEV_566,IP_418,wifi,0,0,17.337051,79.262109,0.58,10.57,0.276,0.786,1,0,2,0.849,0,0
EVT000048,STU0048,CS501,S008,2026-02-06T12:55:00,Friday,12,-4,2161,DEV_196,IP_614,ethernet,0,0,18.119439,78.204763,1.02,3.28,0.36,0.986,1,0,1,0.919,1,0
EVT000049,STU0049,CS501,S009,2026-02-04T13:15:00,Wednesday,13,6,3684,DEV_354,IP_341,ethernet,0,0,18.144309,78.565815,1.64,3.39,0.232,0.903,1,1,0,0.9,1,0
EVT000050,STU0050,CS501,S010,2026-03-15T19:55:00,Sunday,19,-1,2856,DEV_508,IP_038,wifi,0,0,17.753437,78.885271,1.55,0.52,0.339,0.928,1,1,1,0.998,0,0
EVT000051,STU0051,CS501,S011,2026-03-12T22:56:00,Thursday,22,7,1716,DEV_666,IP_083,mobile,0,0,18.278512,79.289013,1.44,4.92,0.317,0.812,1,1,1,0.881,1,0
EVT000052,STU0052,CS501,S012,2026-02-18T16:04:00,Wednesday,16,8,5332,DEV_455,IP_171,ethernet,1,1,17.449199,78.043421,1.26,11.05,0.399,0.937,1,1,0,0.957,0,0
EVT000053,STU0053,CS501,S013,2026-02-16T03:18:00,Monday,3,2,3836,DEV_510,IP_598,wifi,0,0,17.348283,78.956857,1.06,6.79,0.35,0.816,1,0,2,0.977,0,0
EVT000054,STU0054,CS501,S014,2026-02-22T06:58:00,Sunday,6,-7,4711,DEV_204,IP_394,mobile,0,0,17.15998,78.572046,0.32,5.3,0.243,0.903,1,1,2,0.865,1,0
EVT000055,STU0055,CS501,S015,2026-02-17T17:04:00,Tuesday,17,2,1079,DEV_795,IP_236,ethernet,0,0,18.202898,78.328507,0.55,6.79,0.325,0.936,1,0,2,0.954,1,0
EVT000056,STU0056,CS501,S016,2026-02-10T00:40:00,Tuesday,0,-3,1695,DEV_180,IP_206,wifi,0,0,18.179769,79.314691,0.62,5.29,0.299,0.934,1,0,1,0.879,1,0
EVT000057,STU0057,CS501,S017,2026-02-18T00:36:00,Wednesday,0,1,2247,DEV_773,IP_232,ethernet,0,0,18.086325,79.469913,0.96,9.68,0.339,0.851,1,0,1,0.993,0,0
EVT000058,STU0058,CS501,S018,2026-03-17T09:30:00,Tuesday,9,10,3896,DEV_111,IP_692,wifi,1,0,17.707215,78.92932,0.53,1.48,0.248,0.937,1,1,2,0.889,1,0
EVT000059,STU0059,CS501,S019,2026-03-16T07:11:00,Monday,7,12,2713,DEV_119,IP_100,wifi,0,0,18.330889,78.203496,0.93,8.41,0.316,0.805,1,0,0,0.875,1,0
EVT000060,STU0060,CS501,S020,2026-02-22T00:29:00,Sunday,0,10,4333,DEV_455,IP_456,wifi,0,0,18.283175,78.149032,1.77,7.86,0.36,0.909,1,1,0,0.944,0,0
EVT000061,STU0061,CS501,S021,2026-03-04T13:56:00,Wednesday,13,4,1396,DEV_129,IP_579,wifi,0,0,17.102915,79.147736,0.24,10.18,0.269,0.919,1,0,0,0.962,0,0
EVT000062,STU0062,CS501,S022,2026-02-10T19:16:00,Tuesday,19,0,3591,DEV_135,IP_016,mobile,0,0,18.184977,78.356897,1.19,3.33,0.396,0.987,1,1,0,0.84,0,0
EVT000063,STU0063,CS501,S023,2026-02-16T02:38:00,Monday,2,11,54,DEV_630,IP_045,ethernet,1,1,18.17484,79.300471,23.0,86.63,0.629,0.363,0,5,3,0.631,5,1
EVT000064,STU0064,CS501,S024,2026-02-25T02:33:00,Wednesday,2,-7,1398,DEV_130,IP_282,ethernet,0,0,17.949615,78.822535,0.85,1.3,0.331,0.873,1,0,1,0.929,0,0
EVT000065,STU0065,CS501,S025,2026-02-16T04:11:00,Monday,4,12,5246,DEV_424,IP_348,mobile,0,0,17.598095,79.094419,0.86,9.52,0.187,0.917,1,0,1,0.901,0,0
EVT000066,STU0066,CS501,S026,2026-02-15T14:23:00,Sunday,14,1,3966,DEV_687,IP_126,mobile,0,0,17.530397,78.998011,0.95,1.09,0.18,0.871,1,1,0,0.92,1,0
EVT000067,STU0067,CS501,S027,2026-03-07T12:30:00,Saturday,12,-6,3256,DEV_118,IP_286,ethernet,0,0,17.339239,78.643669,1.16,2.55,0.318,0.827,1,0,1,0.972,1,0
EVT000068,STU0068,CS501,S028,2026-02-26T21:43:00,Thursday,21,12,5926,DEV_360,IP_007,wifi,0,0,18.304794,78.849482,1.22,7.89,0.326,0.786,1,1,2,0.957,1,0
EVT000069,STU0069,CS501,S029,2026-02-19T14:45:00,Thursday,14,-4,94,DEV_160,IP_162,ethernet,1,1,17.074644,78.122372,63.42,268.29,0.598,0.525,0,5,11,0.484,2,1
EVT000070,STU0070,CS501,S030,2026-02-21T12:59:00,Saturday,12,8,5873,DEV_226,IP_405,ethernet,0,0,17.082173,78.306635,1.51,1.37,0.263,0.839,1,1,2,0.94,0,0
EVT000071,STU0071,CS501,S031,2026-03-16T09:32:00,Monday,9,-3,2993,DEV_074,IP_407,ethernet,0,1,17.063453,78.028112,0.99,5.17,0.191,0.892,1,0,2,0.921,1,0
EVT000072,STU0072,CS501,S032,2026-03-15T07:09:00,Sunday,7,15,590,DEV_091,IP_448,wifi,1,1,17.364975,78.883307,92.5,234.63,0.612,0.635,0,2,11,0.634,7,1
EVT000073,STU0073,CS501,S033,2026-02-25T05:18:00,Wednesday,5,14,764,DEV_242,IP_106,wifi,1,1,17.383952,78.260249,30.19,379.37,0.496,0.429,0,3,7,0.741,4,1
EVT000074,STU0074,CS501,S034,2026-02-08T07:58:00,Sunday,7,-5,2351,DEV_070,IP_481,mobile,0,0,17.947078,79.194495,0.93,6.76,0.299,0.923,1,1,2,0.877,1,0
EVT000075,STU0075,CS501,S035,2026-02-28T06:59:00,Saturday,6,27,76,DEV_474,IP_595,ethernet,1,1,18.431347,79.108382,15.51,589.76,0.481,0.589,1,1,11,0.688,8,1
EVT000076,STU0076,CS501,S036,2026-02-03T05:48:00,Tuesday,5,11,2442,DEV_041,IP_254,ethernet,0,0,17.656637,78.659133,0.3,0.74,0.185,0.969,1,1,2,0.835,0,0
EVT000077,STU0077,CS501,S037,2026-02-25T03:58:00,Wednesday,3,4,3954,DEV_291,IP_259,ethernet,0,0,18.277349,79.446615,1.55,8.15,0.173,0.912,1,1,0,0.879,1,0
EVT000078,STU0078,CS501,S038,2026-02-28T19:18:00,Saturday,19,3,1567,DEV_833,IP_131,ethernet,0,0,18.054246,79.420663,0.7,11.61,0.328,0.862,1,0,1,0.921,1,0
EVT000079,STU0079,CS501,S039,2026-03-04T13:39:00,Wednesday,13,-5,4368,DEV_080,IP_303,wifi,0,1,17.761535,78.809656,0.62,11.41,0.242,0.941,1,0,0,1.0,0,0
EVT000080,STU0080,CS501,S040,2026-03-06T23:47:00,Friday,23,-6,3658,DEV_374,IP_693,ethernet,0,0,17.356295,78.666298,1.19,1.85,0.203,0.925,1,0,2,0.899,1,0
EVT000081,STU0081,CS501,S001,2026-02-14T08:13:00,Saturday,8,7,2816,DEV_515,IP_541,mobile,0,0,18.449402,79.225337,1.62,5.63,0.36,0.857,1,1,1,0.958,1,0
EVT000082,STU0082,CS501,S002,2026-03-09T20:11:00,Monday,20,1,1327,DEV_461,IP_526,wifi,0,0,18.24657,78.13757,1.11,1.23,0.363,0.959,1,1,0,0.957,1,0
EVT000083,STU0083,CS501,S003,2026-03-14T19:30:00,Saturday,19,7,3763,DEV_860,IP_666,mobile,0,0,18.187071,78.206399,0.79,4.49,0.253,0.797,1,0,0,0.877,0,0
EVT000084,STU0084,CS501,S004,2026-02-14T10:20:00,Saturday,10,8,2036,DEV_114,IP_296,wifi,0,0,17.451727,78.071624,1.23,10.87,0.165,0.825,1,0,2,0.989,1,0
EVT000085,STU0085,CS501,S005,2026-02-20T11:33:00,Friday,11,12,4644,DEV_247,IP_585,mobile,1,0,17.280971,79.002322,1.0,6.43,0.312,0.901,1,0,1,0.897,1,0
EVT000086,STU0086,CS501,S006,2026-02-25T04:47:00,Wednesday,4,-5,5209,DEV_366,IP_070,mobile,0,0,17.361689,78.985657,1.02,0.24,0.37,0.789,1,1,1,0.866,0,0
EVT000087,STU0087,CS501,S007,2026-02-06T02:13:00,Friday,2,3,1992,DEV_065,IP_469,wifi,1,0,17.440164,78.065709,1.63,2.1,0.347,0.878,1,1,2,0.853,0,0
EVT000088,STU0088,CS501,S008,2026-02-10T10:52:00,Tuesday,10,3,3440,DEV_280,IP_128,mobile,0,0,17.655427,78.600033,1.09,3.04,0.341,0.82,1,1,0,0.976,1,0
EVT000089,STU0089,CS501,S009,2026-02-21T09:18:00,Saturday,9,5,3677,DEV_559,IP_301,mobile,0,0,17.153897,78.49188,1.0,11.09,0.285,0.948,1,1,0,0.898,0,0
EVT000090,STU0090,CS501,S010,2026-02-14T19:55:00,Saturday,19,12,4390,DEV_077,IP_688,ethernet,0,0,17.609315,78.769629,0.89,8.72,0.379,0.909,1,1,1,0.935,0,0
EVT000091,STU0091,CS501,S011,2026-03-07T12:05:00,Saturday,12,-7,2069,DEV_620,IP_158,ethernet,0,0,17.674884,78.556447,0.88,1.51,0.217,0.915,1,1,1,0.991,0,0
EVT000092,STU0092,CS501,S012,2026-02-21T13:54:00,Saturday,13,11,2027,DEV_269,IP_267,ethernet,0,0,17.66941,79.494548,1.3,3.0,0.187,0.934,1,1,2,0.89,0,0
EVT000093,STU0093,CS501,S013,2026-02-14T08:55:00,Saturday,8,8,2539,DEV_564,IP_556,mobile,0,0,18.336998,79.277043,0.9,10.78,0.267,0.798,1,1,2,0.883,0,0
EVT000094,STU0094,CS501,S014,2026-03-05T18:29:00,Thursday,18,-2,3861,DEV_627,IP_089,wifi,0,0,17.463936,79.499393,0.4,1.67,0.35,0.786,1,1,1,0.965,0,0
EVT000095,STU0095,CS501,S015,2026-03-06T02:11:00,Friday,2,6,4254,DEV_787,IP_133,mobile,0,1,17.754296,79.302317,1.94,7.71,0.268,0.923,1,1,0,0.978,0,0
EVT000096,STU0096,CS501,S016,2026-03-11T05:06:00,Wednesday,5,-3,3391,DEV_129,IP_641,mobile,0,0,17.921642,78.140143,1.42,4.15,0.386,0.968,1,0,1,0.855,1,0
EVT000097,STU0097,CS501,S017,2026-03-02T13:07:00,Monday,13,11,2163,DEV_667,IP_216,ethernet,0,0,17.62488,78.958487,1.8,4.05,0.382,0.789,1,0,0,0.828,1,0
EVT000098,STU0098,CS501,S018,2026-02-24T00:59:00,Tuesday,0,10,3272,DEV_476,IP_209,mobile,0,0,17.90999,78.468874,0.49,9.69,0.257,0.875,1,0,0,0.899,1,0
EVT000099,STU0099,CS501,S019,2026-03-06T01:38:00,Friday,1,4,4166,DEV_394,IP_631,mobile,0,0,17.372405,79.297961,1.12,3.83,0.272,0.836,1,0,0,0.837,1,0
EVT000100,STU0100,CS501,S020,2026-02-08T15:26:00,Sunday,15,11,3461,DEV_221,IP_598,mobile,0,0,17.072987,78.422035,1.99,5.6,0.371,0.884,1,0,1,0.911,0,0
EVT000101,STU0101,CS501,S021,2026-02-28T13:38:00,Saturday,13,8,3240,DEV_372,IP_567,mobile,0,0,17.110298,78.756383,0.86,10.59,0.335,0.94,1,1,0,0.892,0,0
EVT000102,STU0102,CS501,S022,2026-03-08T03:55:00,Sunday,3,12,5905,DEV_513,IP_042,wifi,0,0,17.058371,79.070388,0.79,9.54,0.241,0.977,1,0,0,0.928,1,0
EVT000103,STU0103,CS501,S023,2026-03-09T23:08:00,Monday,23,7,2120,DEV_726,IP_577,mobile,0,0,17.712339,78.024955,0.66,7.36,0.199,0.988,1,1,2,0.881,1,0
EVT000104,STU0104,CS501,S024,2026-02-16T10:48:00,Monday,10,6,5681,DEV_175,IP_537,ethernet,0,0,18.081774,79.161909,1.74,7.55,0.303,0.836,1,0,2,0.829,1,0
EVT000105,STU0105,CS501,S025,2026-02-18T16:16:00,Wednesday,16,0,1158,DEV_894,IP_064,ethernet,0,0,17.207124,78.311013,0.38,5.29,0.261,0.867,1,0,1,0.91,1,0
EVT000106,STU0106,CS501,S026,2026-02-16T04:02:00,Monday,4,8,5204,DEV_286,IP_572,mobile,0,0,17.337301,79.459366,0.92,6.4,0.291,0.922,1,1,2,0.907,0,0
EVT000107,STU0107,CS501,S027,2026-02-14T22:04:00,Saturday,22,-1,4905,DEV_298,IP_044,mobile,0,0,18.432971,78.118544,1.87,9.54,0.226,0.806,1,1,1,0.967,0,0
EVT000108,STU0108,CS501,S028,2026-03-15T10:15:00,Sunday,10,1,4824,DEV_654,IP_239,wifi,0,0,17.150297,78.49544,0.54,6.74,0.225,0.803,1,0,0,0.829,0,0
EVT000109,STU0109,CS501,S029,2026-02-22T20:59:00,Sunday,20,-3,942,DEV_930,IP_092,ethernet,0,0,17.8612,78.802728,0.32,7.83,0.371,0.88,1,0,1,0.878,0,0
EVT000110,STU0110,CS501,S030,2026-03-06T06:50:00,Friday,6,-6,2334,DEV_898,IP_039,wifi,0,0,17.447588,78.904174,1.87,0.44,0.361,0.945,1,0,2,0.993,1,0
EVT000111,STU0111,CS501,S031,2026-03-15T15:07:00,Sunday,15,2,4622,DEV_664,IP_264,ethernet,0,0,17.279299,79.104927,0.99,11.26,0.364,0.878,1,0,0,0.88,1,0
EVT000112,STU0112,CS501,S032,2026-03-09T08:43:00,Monday,8,-1,2337,DEV_332,IP_255,wifi,0,0,17.391178,78.353282,0.81,5.13,0.239,0.864,1,0,0,0.997,1,0
EVT000113,STU0113,CS501,S033,2026-03-07T16:18:00,Saturday,16,3,3373,DEV_707,IP_121,ethernet,0,0,18.374196,78.442556,0.52,4.31,0.217,0.92,1,1,1,0.849,1,0
EVT000114,STU0114,CS501,S034,2026-03-01T08:20:00,Sunday,8,-3,4817,DEV_539,IP_458,ethernet,0,0,18.055649,78.117154,1.21,4.99,0.292,0.879,1,0,0,0.942,0,0
EVT000115,STU0115,CS501,S035,2026-02-27T01:13:00,Friday,1,10,5040,DEV_829,IP_057,mobile,0,0,17.197917,78.623137,0.33,10.25,0.266,0.923,1,1,0,0.982,1,0
EVT000116,STU0116,CS501,S036,2026-02-27T00:56:00,Friday,0,24,689,DEV_555,IP_062,wifi,0,1,18.479206,78.708107,60.27,579.78,0.748,0.46,0,1,8,0.588,3,1
EVT000117,STU0117,CS501,S037,2026-02-14T10:34:00,Saturday,10,-3,4343,DEV_183,IP_551,mobile,0,0,17.793264,79.091787,0.9,11.01,0.251,0.797,1,0,2,0.975,0,0
EVT000118,STU0118,CS501,S038,2026-02-11T12:14:00,Wednesday,12,-7,3344,DEV_033,IP_677,mobile,0,0,17.922385,79.404357,0.85,4.55,0.215,0.877,1,0,1,0.854,0,0
EVT000119,STU0119,CS501,S039,2026-03-13T20:04:00,Friday,20,8,69,DEV_773,IP_058,wifi,1,1,17.755844,78.433895,86.91,505.65,0.469,0.533,1,4,9,0.544,5,1
EVT000120,STU0120,CS501,S040,2026-03-10T12:03:00,Tuesday,12,11,3512,DEV_571,IP_606,ethernet,0,0,18.367366,78.93899,1.64,2.84,0.37,0.987,1,0,1,0.874,0,0
EVT000121,STU0121,CS501,S001,2026-02-20T19:37:00,Friday,19,-6,3721,DEV_247,IP_231,mobile,0,0,18.286312,78.216528,1.57,3.82,0.26,0.811,1,1,0,0.956,1,0
EVT000122,STU0122,CS501,S002,2026-02-22T10:44:00,Sunday,10,10,4280,DEV_053,IP_275,mobile,0,0,18.010508,78.904383,0.27,2.91,0.209,0.916,1,1,1,0.837,0,0
EVT000123,STU0123,CS501,S003,2026-03-13T03:13:00,Friday,3,30,223,DEV_407,IP_246,ethernet,1,0,17.482423,78.424589,51.95,671.85,0.456,0.622,1,1,9,0.816,5,1
EVT000124,STU0124,CS501,S004,2026-02-22T14:16:00,Sunday,14,4,3426,DEV_047,IP_577,wifi,0,0,18.111879,78.02433,0.99,1.18,0.396,0.879,1,1,0,0.887,1,0
EVT000125,STU0125,CS501,S005,2026-02-26T13:21:00,Thursday,13,11,4320,DEV_741,IP_658,ethernet,0,0,17.735893,78.25235,0.46,6.84,0.219,0.896,1,1,1,0.957,1,0
EVT000126,STU0126,CS501,S006,2026-03-09T13:19:00,Monday,13,-3,5377,DEV_423,IP_141,ethernet,0,0,17.34715,79.060754,1.08,7.7,0.174,0.787,1,0,2,0.829,0,0
EVT000127,STU0127,CS501,S007,2026-02-01T18:59:00,Sunday,18,7,3957,DEV_549,IP_294,wifi,1,0,17.753324,79.046789,1.87,10.95,0.318,0.783,1,1,0,0.823,1,0
EVT000128,STU0128,CS501,S008,2026-02-20T23:18:00,Friday,23,-2,1776,DEV_471,IP_579,wifi,0,0,18.48535,78.338786,0.48,7.44,0.221,0.854,1,1,0,0.887,1,0
EVT000129,STU0129,CS501,S009,2026-03-04T12:09:00,Wednesday,12,-5,1159,DEV_580,IP_098,ethernet,1,0,18.378728,78.34465,1.11,0.67,0.162,0.816,1,1,1,0.936,1,0
EVT000130,STU0130,CS501,S010,2026-03-14T09:25:00,Saturday,9,11,4795,DEV_602,IP_148,ethernet,0,0,18.231354,79.393312,1.37,3.36,0.29,0.918,1,0,1,0.823,0,0
EVT000131,STU0131,CS501,S011,2026-02-14T23:53:00,Saturday,23,0,5542,DEV_055,IP_101,mobile,0,0,17.348216,78.114027,1.79,3.98,0.341,0.809,1,0,2,0.954,1,0
EVT000132,STU0132,CS501,S012,2026-02-28T22:00:00,Saturday,22,12,4149,DEV_088,IP_634,mobile,0,0,18.197083,79.069663,1.27,9.4,0.268,0.828,1,1,1,0.853,1,0
